"Date","Occurences"
"2018-04-05","1"
"2018-04-05","0"
"2018-04-05","0"
"2018-04-05","5"
"2018-04-04","0"
"2018-03-31","2"
"2018-03-31","9"
"2018-03-31","4"
"2018-03-28","0"
"2018-03-28","10"
"2018-03-28","3"
"2018-03-28","12"
"2018-03-28","13"
"2018-03-24","1"
"2018-03-24","13"
"2018-03-24","0"
"2018-03-24","4"
"2018-03-22","2"
"2018-03-22","1"
"2018-03-15","7"
"2018-03-15","1"
"2018-03-15","3"
"2018-03-14","2"
"2018-03-10","0"
"2018-03-08","5"
"2018-03-08","7"
"2018-03-08","8"
"2018-03-08","1"
"2018-03-08","0"
"2018-03-08","3"
"2018-03-03","12"
"2018-03-08","8"
"2018-03-08","1"
"2018-03-08","0"
"2018-03-08","3"
"2018-03-03","12"
"2018-03-03","7"
"2018-03-02","3"
"2018-03-01","12"
"2018-03-01","0"
"2018-03-01","1"
"2018-03-01","0"
"2018-03-01","15"
"2018-03-01","6"
"2018-02-28","2"
"2018-02-26","1"
"2018-02-24","2"
"2018-02-24","12"
"2018-02-24","5"
"2018-02-23","2"
"2018-02-22","7"
"2018-02-22","3"
"2018-02-22","1"
"2018-02-22","2"
"2018-02-22","1"
"2018-02-15","0"
"2018-02-15","0"
"2018-02-15","10"
"2018-02-15","13"
"2018-02-15","3"
"2018-02-15","0"
"2018-02-10","1"
"2018-02-10","0"
"2018-02-08","1"
"2018-02-08","1"
"2018-02-08","3"
"2018-02-08","0"
"2018-02-08","1"
"2018-02-08","1"
"2018-02-08","3"
"2018-02-08","0"
"2018-02-08","13"
"2018-02-08","8"
"2018-02-03","9"
"2018-02-03","8"
